Season,Injury,Days,Games missed,player_name,player_age,player_position,club,league,salary_eur,salary_daily_eur,injury_cost_eur
22/23,Thigh problems,12,3,Luca Pellegrini,24,Left-Back,Eintracht Frankfurt,Bundesliga,2137538.0,5856.268493150685,70275.22191780822
22/23,Thigh problems,5,1,Luca Pellegrini,24,Left-Back,Eintracht Frankfurt,Bundesliga,2137538.0,5856.268493150685,29281.342465753423
22/23,Hamstring injury,20,5,Christopher Lenz,28,Left-Back,Eintracht Frankfurt,Bundesliga,510251.0,1397.9479452054795,27958.95890410959
22/23,Hamstring injury,22,3,Christopher Lenz,28,Left-Back,Eintracht Frankfurt,Bundesliga,510251.0,1397.9479452054795,30754.85479452055
22/23,Calf injury,38,6,Kristijan Jakic,26,Defensive Midfield,Eintracht Frankfurt,Bundesliga,1034324.0,2833.764383561644,107683.04657534244
22/23,inflammation,15,3,Kristijan Jakic,26,Defensive Midfield,Eintracht Frankfurt,Bundesliga,1034324.0,2833.764383561644,42506.46575342465
22/23,Inner knee ligament tear,80,9,Makoto Hasebe,39,Defensive Midfield,Eintracht Frankfurt,Bundesliga,953010.0,2610.986301369863,208878.90410958903
22/23,Rest,5,1,Makoto Hasebe,39,Defensive Midfield,Eintracht Frankfurt,Bundesliga,953010.0,2610.986301369863,13054.931506849316
22/23,muscular problems,4,1,Sebastian Rode,32,Central Midfield,Eintracht Frankfurt,Bundesliga,3500000.0,9589.04109589041,38356.16438356164
22/23,Calf problems,5,1,Sebastian Rode,32,Central Midfield,Eintracht Frankfurt,Bundesliga,3500000.0,9589.04109589041,47945.20547945205
22/23,Hamstring injury,8,2,Sebastian Rode,32,Central Midfield,Eintracht Frankfurt,Bundesliga,3500000.0,9589.04109589041,76712.32876712328
22/23,Adductor pain,6,1,Mario Götze,31,Attacking Midfield,Eintracht Frankfurt,Bundesliga,3000000.0,8219.17808219178,49315.06849315069
22/23,Ankle injury,4,1,Mario Götze,31,Attacking Midfield,Eintracht Frankfurt,Bundesliga,3000000.0,8219.17808219178,32876.71232876712
